model,metric,source_column,category,axis_label,n,mean_db,ci95_low_db,ci95_high_db,sample_rate_hz,segment_seconds,evaluation_n,alignment,input_csv,bootstrap_method,bootstrap_replicates,bootstrap_seed
TF-Locoformer-M,SDRi,sdr_i,music+speech,M&S,35,16.051424,14.984781,17.081249,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,music+tv,M&T,26,15.076751,13.827565,16.328247,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,speech+speech,S&S,216,14.132446,13.576505,14.623018,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,speech+tv,S&T,501,13.262820,12.961762,13.537837,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,tv+tv,T&T,265,11.463015,10.885806,11.981780,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,dialog+dialog,D&D,402,21.062300,20.604386,21.484964,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,dialog+music,D&M,47,24.895721,24.093012,25.640543,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,dialog+speech,D&S,646,23.508016,23.067462,23.896043,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,dialog+tv,D&T,660,21.390203,20.978321,21.769972,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,music+music,M&M,3,15.566044,-4.109593,31.370286,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,music+speech,M&S,35,26.730769,26.035747,27.421753,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,music+tv,M&T,26,24.820655,23.606447,25.919371,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,speech+speech,S&S,216,23.990454,23.308801,24.558780,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,speech+tv,S&T,501,23.317653,22.958613,23.627850,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SIR,sir,tv+tv,T&T,265,21.115290,20.330636,21.785142,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
